IDP,Interior Design
GDP,Graphic Design
FTP,Fashion and Textile Design
MAD,Arts and Design 
PDP,Photography and Multimedia
ARP,Architecture
MLU,Landscape and Urbanism
MUA,Musimedialogy Arabic 
MUE,Music Education
MUM,Musimedialogy
MUS,Musicology
FAC,Arts and Crafts
FAP,Studio Arts
FPA,Performing Arts
MAA,Fine Arts
ACO,Accounting
BAF,Finance
ECN,Economics 
ENR,Energy Economics 
FEN,Financial Engineering
BAD,Business Administration
HCM,Health Care Management 
MRK,Marketing 
MGT,Human Resource Management
PRM,Project and Operation Management
EPM,Management of Event Production 
FBM,Food and Beverage Management 
TTM,Hotel Management and Tourism
HSM,Hotel Management and Tourism
HTM,Hospitality Management 
RMC,Research Methodology
ENG,General Engineering
CEN,Civil Engineering
EEN,Electrical Engineering
MEN,Mechanical Engineering
EDU,Education 
ENL,English
FRC,French
GEM,German
INT,Interpretership
ITL,Italian
LIR,Literature
LTN,Latin
PES,Physical Education and Sport
SPA,Spanish
TRA,Translation
ADM,Advertising & Media Studies
COA,Communication 
JOU,Journalism
ARB,Arabic 
HUT,Human Thoughts
PHL,Philosophy
PSL,Psychology 
REG,Religion
SOL,Sociology
CSC,Computer Science 
GIS,Geographic Information Science 
MIS,Maangement Information Systems
ACS,Actuarial Science
MAT,Mathematics 
OPR,Operations Research 
STA,Statistics
AST,Astronomy 
PHS,Physics
BIO,Biology
CHM,Chemistry
ENS,Environmental Science
GEO,Geology
HEA,Health
MLT,Medical Laboratory Technology 
NTR,Nutrition
NUR,Nursing
LAW,Law
INL,International Law
IAF,Internaltional Affairs and Diplomacy
INL,International Law
CJS,Criminal Law 
PAD,Public Administration
AMS,American Study
CPL,Comparative Law 
HIT,History
NGO,Non-Governmental Organization 
POS,Political Science
